ydb/core/kqp/ut/batch_operations unittest.[31/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[32/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[4/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[5/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[6/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[7/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[8/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/batch_operations unittest.[9/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/cost KqpCost.VectorIndexLookup+useSink # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/cost KqpCost.VectorIndexLookup-useSink # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/data_integrity KqpDataIntegrityTrails.UpsertEvWriteQueryService-isOlap+useOltpSink # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/federated_query/large_results KqpScriptExecResults.ExecuteScriptWithLargeFile # owner TEAM:@ydb-platform/fq success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-3, s-0, runs-12, state Muted Flaky
ydb/core/kqp/ut/federated_query/s3 unittest.sole chunk # owner TEAM:@ydb-platform/fq success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/indexes KqpMultishardIndex.WriteIntoRenamingAsyncIndex # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-8, f-0,m-5, s-0, runs-13, state Muted Stable(07-19)->Muted Flaky(07-20)
ydb/core/kqp/ut/indexes KqpMultishardIndex.WriteIntoRenamingSyncIndex # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-1, s-0, runs-10, state Muted Stable(07-19)->Muted Flaky(07-21)
ydb/core/kqp/ut/opt KqpKv.ReadRows_TimeoutCancelsReads # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/query KqpAnalyze.AnalyzeTable+ColumnStore # owner TEAM:@ydb-platform/qp success_rate 0% (last 3 days) [2025-07-19:2025-07-21], p-0, f-0,m-20, s-0, runs-20, state Muted Flaky
ydb/core/kqp/ut/query KqpAnalyze.AnalyzeTable-ColumnStore # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/query KqpLimits.StreamWrite+Allowed # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/query KqpStats.DeferredEffects+UseSink # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-1, s-0, runs-10, state Muted Stable(07-19)->Muted Flaky(07-21)
ydb/core/kqp/ut/query KqpStats.SysViewClientLost # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-4, f-0,m-12, s-0, runs-16, state Muted Flaky
